Row,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
2022/03/05,0,0,0.411075857567626,0.0409420552614403,0.0820853578939735,0.170543549205889,0.192706142577417,0.0570617883820437,0.0455852491116107
2022/03/06,0,0,0.411075857567626,0.0409420552614403,0.0820853578939735,0.170543549205889,0.192706142577417,0.0570617883820437,0.0455852491116107
2022/03/07,0,0,0.411075857567626,0.0409420552614403,0.0820853578939735,0.170543549205889,0.192706142577417,0.0570617883820437,0.0455852491116107
2022/03/08,0,0,0.411075857567626,0.0409420552614403,0.0820853578939735,0.170543549205889,0.192706142577417,0.0570617883820437,0.0455852491116107
2022/03/09,0,0,0.411075857567626,0.0409420552614403,0.0820853578939735,0.170543549205889,0.192706142577417,0.0570617883820437,0.0455852491116107
2022/03/10,0,0,0.295397402477299,0.126477507210524,0.199140517076949,0.209912953511626,0.107549519972718,0.0345931761564294,0.0269289235944535
2022/03/11,0,0,0.295397402477299,0.126477507210524,0.199140517076949,0.209912953511626,0.107549519972718,0.0345931761564294,0.0269289235944535
2022/03/12,0,0,0.295397402477299,0.126477507210524,0.199140517076949,0.209912953511626,0.107549519972718,0.0345931761564294,0.0269289235944535
2022/03/13,0,0,0.295397402477299,0.126477507210524,0.199140517076949,0.209912953511626,0.107549519972718,0.0345931761564294,0.0269289235944535
2022/03/14,0,0,0.295397402477299,0.126477507210524,0.199140517076949,0.209912953511626,0.107549519972718,0.0345931761564294,0.0269289235944535
2022/03/15,0,0,0.295397402477299,0.126477507210524,0.199140517076949,0.209912953511626,0.107549519972718,0.0345931761564294,0.0269289235944535
2022/03/16,0,0,0.295397402477299,0.126477507210524,0.199140517076949,0.209912953511626,0.107549519972718,0.0345931761564294,0.0269289235944535
2022/03/17,0,0,0.0466484169578216,0.227504232251558,0.261585563519793,0.23430104815762,0.124878435327594,0.0566221229694197,0.0484601808161942
2022/03/18,0,0,0.0466484169578216,0.227504232251558,0.261585563519793,0.23430104815762,0.124878435327594,0.0566221229694197,0.0484601808161942
2022/03/19,0,0,0.0466484169578216,0.227504232251558,0.261585563519793,0.23430104815762,0.124878435327594,0.0566221229694197,0.0484601808161942
2022/03/20,0,0,0.0466484169578216,0.227504232251558,0.261585563519793,0.23430104815762,0.124878435327594,0.0566221229694197,0.0484601808161942
2022/03/21,0,0,0.0466484169578216,0.227504232251558,0.261585563519793,0.23430104815762,0.124878435327594,0.0566221229694197,0.0484601808161942
2022/03/22,0,0,0.0466484169578216,0.227504232251558,0.261585563519793,0.23430104815762,0.124878435327594,0.0566221229694197,0.0484601808161942
2022/03/23,0,0,0.0466484169578216,0.227504232251558,0.261585563519793,0.23430104815762,0.124878435327594,0.0566221229694197,0.0484601808161942
2022/03/24,0,0,0.329661995053586,0.0903742786479802,0.088517724649629,0.0693816982687551,0.317691673536686,0.0752745259686727,0.0290981038746908
2022/03/25,0,0,0.329661995053586,0.0903742786479802,0.088517724649629,0.0693816982687551,0.317691673536686,0.0752745259686727,0.0290981038746908
2022/03/26,0,0,0.329661995053586,0.0903742786479802,0.088517724649629,0.0693816982687551,0.317691673536686,0.0752745259686727,0.0290981038746908
2022/03/27,0,0,0.329661995053586,0.0903742786479802,0.088517724649629,0.0693816982687551,0.317691673536686,0.0752745259686727,0.0290981038746908
2022/03/28,0,0,0.329661995053586,0.0903742786479802,0.088517724649629,0.0693816982687551,0.317691673536686,0.0752745259686727,0.0290981038746908
2022/03/29,0,0,0.329661995053586,0.0903742786479802,0.088517724649629,0.0693816982687551,0.317691673536686,0.0752745259686727,0.0290981038746908
